N,low,high
0,0.00,1.84
1,0.83,2.30
2,1.29,2.64
3,1.63,2.92
4,1.91,3.16
5,2.16,3.38
6,2.38,3.58
7,2.58,3.77
8,2.77,3.95
9,2.94,4.11
10,3.11,4.27
11,3.27,4.42
12,3.42,4.56
13,3.56,4.70
14,3.70,4.83
15,3.83,4.96
16,3.96,5.08
17,4.08,5.20
18,4.20,5.32
19,4.32,5.44
20,4.43,5.55
21,4.55,5.66
22,4.65,5.76
23,4.76,5.87
24,4.86,5.97
25,4.97,6.07
26,5.07,6.16
27,5.16,6.26
28,5.26,6.35
29,5.35,6.45
30,5.45,6.54
31,5.54,6.63
32,5.63,6.72
33,5.72,6.80
34,5.80,6.89
35,5.89,6.97
36,5.97,7.06
37,6.06,7.14
38,6.14,7.22
39,6.22,7.30
40,6.30,7.38
41,6.38,7.46
42,6.45,7.53
43,6.53,7.61
44,6.61,7.68
45,6.68,7.76
46,6.76,7.83
47,6.83,7.90
48,6.90,7.98
49,6.98,8.05
50,7.05,8.12
51,7.12,8.19
52,7.19,8.26
53,7.26,8.33
54,7.33,8.39
55,7.39,8.46
56,7.46,8.53
57,7.53,8.59
58,7.59,8.66
59,7.66,8.72
60,7.72,8.79
61,7.79,8.85
62,7.85,8.92
63,7.92,8.98
64,7.98,9.04
65,8.04,9.10
66,8.10,9.17
67,8.16,9.23
68,8.23,9.29
69,8.29,9.35
70,8.35,9.41
71,8.41,9.47
72,8.47,9.52
73,8.52,9.58
74,8.58,9.64
75,8.64,9.70
76,8.70,9.76
77,8.76,9.81
78,8.81,9.87
79,8.87,9.93
80,8.93,9.98
81,8.98,10.04
82,9.04,10.09
83,9.09,10.15
84,9.15,10.20
85,9.20,10.26
86,9.26,10.31
87,9.31,10.36
88,9.36,10.42
89,9.42,10.47
90,9.47,10.52
91,9.52,10.57
92,9.57,10.63
93,9.63,10.68
94,9.68,10.73
95,9.73,10.78
96,9.78,10.83
97,9.83,10.88
98,9.88,10.93
99,9.93,10.98
100,9.98,11.03
101,10.03,11.08
102,10.08,11.13
103,10.13,11.18
104,10.18,11.23
105,10.23,11.28
106,10.28,11.33
107,10.33,11.38
108,10.38,11.42
109,10.42,11.47
110,10.47,11.52
111,10.52,11.57
112,10.57,11.61
113,10.61,11.66
114,10.66,11.71
115,10.71,11.75
116,10.75,11.80
117,10.80,11.85
118,10.85,11.89
119,10.89,11.94
120,10.94,11.98
121,10.98,12.03
122,11.03,12.08
123,11.08,12.12
124,11.12,12.17
125,11.17,12.21
126,11.21,12.25
127,11.25,12.30
128,11.30,12.34
129,11.34,12.39
130,11.39,12.43
131,11.43,12.47
132,11.47,12.52
133,11.52,12.56
134,11.56,12.60
135,11.60,12.65
136,11.65,12.69
137,11.69,12.73
138,11.73,12.78
139,11.78,12.82
140,11.82,12.86
141,11.86,12.90
142,11.90,12.94
143,11.94,12.99
144,11.99,13.03
145,12.03,13.07
146,12.07,13.11
147,12.11,13.15
148,12.15,13.19
149,12.19,13.23
150,12.23,13.27
151,12.27,13.32
152,12.32,13.36
153,12.36,13.40
154,12.40,13.44
155,12.44,13.48
156,12.48,13.52
157,12.52,13.56
158,12.56,13.60
159,12.60,13.64
160,12.64,13.68
161,12.68,13.71
162,12.71,13.75
163,12.75,13.79
164,12.79,13.83
165,12.83,13.87
166,12.87,13.91
167,12.91,13.95
168,12.95,13.99
169,12.99,14.03
170,13.03,14.06
171,13.06,14.10
172,13.10,14.14
173,13.14,14.18
174,13.18,14.22
175,13.22,14.25
176,13.25,14.29
177,13.29,14.33
178,13.33,14.37
179,13.37,14.40
180,13.40,14.44
181,13.44,14.48
182,13.48,14.52
183,13.52,14.55
184,13.55,14.59
185,13.59,14.63
186,13.63,14.66
187,13.66,14.70
188,13.70,14.74
189,13.74,14.77
190,13.77,14.81
191,13.81,14.84
192,13.84,14.88
193,13.88,14.92
194,13.92,14.95
195,13.95,14.99
196,13.99,15.02
197,14.02,15.06
198,14.06,15.09
199,14.09,15.13
200,14.13,15.17
201,14.17,15.20
202,14.20,15.24
203,14.24,15.27
204,14.27,15.31
205,14.31,15.34
206,14.34,15.38
207,14.38,15.41
208,14.41,15.45
209,14.45,15.48
210,14.48,15.51
211,14.51,15.55
212,14.55,15.58
213,14.58,15.62
214,14.62,15.65
215,14.65,15.69
216,14.69,15.72
217,14.72,15.75
218,14.75,15.79
219,14.79,15.82
220,14.82,15.85
221,14.85,15.89
222,14.89,15.92
223,14.92,15.96
224,14.96,15.99
225,14.99,16.02
226,15.02,16.06
227,15.06,16.09
228,15.09,16.12
229,15.12,16.15
230,15.15,16.19
231,15.19,16.22
232,15.22,16.25
233,15.25,16.29
234,15.29,16.32
235,15.32,16.35
236,15.35,16.38
237,15.38,16.42
238,15.42,16.45
239,15.45,16.48
240,15.48,16.51
241,15.51,16.55
242,15.55,16.58
243,15.58,16.61
244,15.61,16.64
245,15.64,16.67
246,15.67,16.71
247,15.71,16.74
248,15.74,16.77
249,15.77,16.80
250,15.80,16.83
251,15.83,16.86
252,15.86,16.90
253,15.90,16.93
254,15.93,16.96
255,15.96,16.99
256,15.99,17.02
257,16.02,17.05
258,16.05,17.08
259,16.08,17.11
260,16.11,17.15
261,16.15,17.18
262,16.18,17.21
263,16.21,17.24
264,16.24,17.27
265,16.27,17.30
266,16.30,17.33
267,16.33,17.36
268,16.36,17.39
269,16.39,17.42
270,16.42,17.45
271,16.45,17.48
272,16.48,17.51
273,16.51,17.54
274,16.54,17.57
275,16.57,17.60
276,16.60,17.63
277,16.63,17.66
278,16.66,17.69
279,16.69,17.72
280,16.72,17.75
281,16.75,17.78
282,16.78,17.81
283,16.81,17.84
284,16.84,17.87
285,16.87,17.90
286,16.90,17.93
287,16.93,17.96
288,16.96,17.99
289,16.99,18.02
290,17.02,18.05
291,17.05,18.08
292,17.08,18.11
293,17.11,18.14
294,17.14,18.17
295,17.17,18.19
296,17.19,18.22
297,17.22,18.25
298,17.25,18.28
299,17.28,18.31
